hidden_dim,lr,l2_lambda,val_acc,best_epoch
128,0.1,0.0,0.881,6
128,0.1,0.0001,0.8811666666666667,6
128,0.01,0.0,0.8286666666666667,8
128,0.01,0.0001,0.8285,8
256,0.1,0.0,0.8833333333333333,7
256,0.1,0.0001,0.8841666666666667,7
256,0.01,0.0,0.8338333333333333,8
256,0.01,0.0001,0.8338333333333333,8
